Transact No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2026011205005858,SANVI,-,-,10,805.0,8050.0
2026011205005857,NIFRA,-,-,200,260.0,52000.0
2026011205005856,NYADI,-,-,10,386.0,3860.0
2026011205005855,HHL,-,-,55,323.0,17765.0
2026011205005854,SANVI,-,-,50,805.0,40250.0
2026011205005853,SANVI,-,-,50,805.0,40250.0
2026011205005852,SANVI,-,-,10,805.0,8050.0
2026011205005851,SANVI,-,-,50,805.0,40250.0
2026011205005850,MMKJL,-,-,10,591.2,5912.0
2026011205005849,NRN,-,-,5000,1365.0,6825000.0
2026011205005848,SANVI,-,-,50,804.9,40245.0
2026011205005847,RNLI,-,-,12,464.2,5570.4
2026011205005846,MBJC,-,-,1084,280.3,303845.2
2026011205005845,SGHC,-,-,10,373.0,3730.0
2026011205005844,MBJC,-,-,10,280.3,2803.0
2026011205005843,NYADI,-,-,165,386.0,63690.0
2026011205005842,USHEC,-,-,10,458.0,4580.0
2026011205005841,VLUCL,-,-,10,566.1,5661.0
2026011205005840,SANVI,-,-,10,804.9,8049.0
2026011205005839,TAMOR,-,-,10,444.1,4441.0
2026011205005838,MKHC,-,-,10,347.6,3476.0
2026011205005837,SANVI,-,-,40,805.0,32200.0
2026011205005836,KDBY,-,-,100,9.69,969.0
2026011205005835,GCIL,-,-,11,426.5,4691.5
2026011205005834,ILI,-,-,100,442.0,44200.0
2026011205005833,SANVI,-,-,30,805.0,24150.0
2026011205005832,NRN,-,-,12,1365.0,16380.0
2026011205005831,IHL,-,-,60,542.0,32520.0
2026011205005830,IHL,-,-,10,541.9,5419.0
2026011205005829,HRL,-,-,10,841.0,8410.0
2026011205005828,KBSH,-,-,10,1715.0,17150.0
2026011205005827,SONA,-,-,10,433.1,4331.0
2026011205005826,TVCL,-,-,30,386.2,11586.0
2026011205005825,SANVI,-,-,100,805.0,80500.0
2026011205005824,DORDI,-,-,160,254.0,40640.0
2026011205005823,DORDI,-,-,40,254.0,10160.0
2026011205005822,HIDCL,-,-,100,256.5,25650.0
2026011205005821,NRN,-,-,250,1365.0,341250.0
2026011205005820,NRN,-,-,10,1365.0,13650.0
2026011205005819,NRN,-,-,10,1365.0,13650.0
2026011205005818,NRN,-,-,20,1365.0,27300.0
2026011205005817,NRN,-,-,1000,1365.0,1365000.0
2026011205005816,NRN,-,-,50,1365.0,68250.0
2026011205005815,NRN,-,-,80,1365.0,109200.0
2026011205005814,NRN,-,-,1000,1365.1,1365100.0
2026011205005813,NRN,-,-,10,1366.0,13660.0
2026011205005812,NRN,-,-,300,1366.0,409800.0
2026011205005811,NRN,-,-,100,1367.0,136700.0
2026011205005810,NRN,-,-,500,1367.0,683500.0
2026011205005809,NRN,-,-,500,1367.0,683500.0
2026011205005808,NRN,-,-,30,1368.0,41040.0
2026011205005807,NRN,-,-,10,1368.0,13680.0
2026011205005806,NRN,-,-,1000,1370.0,1370000.0
2026011205005805,NRN,-,-,37,1370.0,50690.0
2026011205005804,SMATA,-,-,55,778.0,42790.0
2026011205005803,SMATA,-,-,10,778.1,7781.0
2026011205005802,MKHL,-,-,10,790.0,7900.0
2026011205005801,SAHAS,-,-,10,547.0,5470.0
2026011205005800,SANVI,-,-,10,804.8,8048.0
2026011205005799,SMHL,-,-,70,512.1,35847.0
2026011205005798,SMHL,-,-,10,512.1,5121.0
2026011205005797,NIFRA,-,-,10,260.0,2600.0
2026011205005796,SHIVM,-,-,217,630.0,136710.0
2026011205005795,SONA,-,-,10,433.2,4332.0
2026011205005794,SHIVM,-,-,100,632.0,63200.0
2026011205005793,SHIVM,-,-,150,630.0,94500.0
2026011205005792,ULHC,-,-,11,468.8,5156.8
2026011205005791,HRL,-,-,10,840.5,8405.0
2026011205005790,MBJC,-,-,10,280.3,2803.0
2026011205005789,SANVI,-,-,10,804.8,8048.0
2026011205005788,CIT,-,-,10,1775.0,17750.0
2026011205005787,CIT,-,-,10,1775.0,17750.0
2026011205005786,CIT,-,-,10,1775.0,17750.0
2026011205005785,CIT,-,-,150,1775.0,266250.0
2026011205005784,CIT,-,-,25,1775.0,44375.0
2026011205005783,CIT,-,-,20,1775.0,35500.0
2026011205005782,CIT,-,-,10,1775.0,17750.0
