Broker,BrokerName,BrokerType
1,Kumari Securities Private Limited,ALL
3,Arun Securities (PVT) Ltd.,ALL
4,Opal Securities Investment (PVT) Ltd.,ALL
5,Market Securities & Exchange (PVT) Ltd.,ALL
6,Agrawal Securities (PVT) Ltd.,ALL
7,J.F. Securities (PVT) Ltd.,ALL
8,Ashutosh Brokerage & Securities (PVT) Ltd.,ALL
10,Pragyan Securities (PVT) Ltd.,ALL
11,Malla & Malla Stock Broking Company Pvt. Ltd.,ALL
13,Thrive Brokerage House Pvt. Ltd.,ALL
14,Nepal Stock House (PVT) Ltd.,ALL
16,Primo Securities (PVT) Ltd.,ALL
17,ABC Securities Pvt. Ltd.,ALL
18,Sagarmatha Securities Pvt. Ltd.,ALL
19,Nepal Investment & Securities Trading Pvt. Ltd.,ALL
20,Sipla Securities Pvt. Ltd.,ALL
21,Midas Stock Broking Company Pvt. Ltd.,ALL
22,Siprabi Securities Pvt. Ltd.,ALL
25,Sweta Securities Pvt. Ltd.,ALL
26,Asian Securities Pvt. Ltd.,ALL
28,Shree Krishna Securities Ltd.,ALL
29,Trisul Securities & Investment Ltd.,ALL
32,Premier Securities Company Ltd.,ALL
33,Dakshinkali Investment & Securities Pvt. Ltd.,ALL
34,Vision Securities Pvt. Ltd.,ALL
35,Kohinoor Investment & Securities Pvt. Ltd.,ALL
36,Secured Securities Ltd.,ALL
37,Swarna Laxmi Securities Pvt. Ltd.,ALL
38,Dipshikha Dhitopatra Karobar Co. Pvt. Ltd.,ALL
39,Sumeru Securities Pvt. Ltd.,ALL
40,Creative Securities Pvt. Ltd.,ALL
41,Linch Stock Market Ltd.,ALL
42,Sani Securities Company Ltd.,ALL
43,South Asian Bulls Pvt. Ltd.,ALL
44,Dynamic Money Managers Securities Pvt. Ltd.,ALL
45,Imperial Securities Company Pvt. Ltd.,ALL
46,Kalika Securities Pvt. Ltd.,ALL
47,Neev Securities Pvt. Ltd.,ALL
48,Trishakti Securities Public Ltd.,ALL
49,Online Securities Pvt. Ltd.,ALL
50,Crystal Kanchanjanga Securities Pvt. Ltd.,ALL
51,Oxford Securities Pvt. Ltd.,ALL
52,Sundhara Securities Limited,ALL
53,Investment Management Nepal Pvt. Ltd.,ALL
54,Sewa Securities Pvt. Ltd.,ALL
55,Bhrikuti Stock Broking Co. Pvt. Ltd.,ALL
56,Sri Hari Securities Pvt. Ltd.,ALL
57,Aryatara Investment & Securities Pvt. Ltd.,ALL
58,Naasa Securities Co. Ltd.,ALL
59,Deevyaa Securities & Stock House Pvt. Ltd.,ALL
61,Bhole Ganesh Securities Ltd.,ALL
62,Capital Max Securities Ltd.,ALL
63,Himalayan Brokerage Company Ltd.,ALL
64,Sun Securities Pvt. Ltd.,ALL
65,SharePro Securities Pvt. Ltd.,ALL
66,Miyo Securities Pvt. Ltd.,ALL
67,Property Wizard Ltd.,ALL
68,Elite Stock House Ltd.,ALL
69,Index Securities Ltd.,ALL
70,Infinity Securities Ltd.,ALL
71,Shubhakamana Securities Pvt. Ltd.,ALL
72,Hatemalo Financial Services Pvt. Ltd.,ALL
73,Money World Share Exchange Pvt. Ltd.,ALL
74,Kalash Stock Market Pvt. Ltd.,ALL
75,Mega Stock Markets Ltd.,ALL
76,Machhapuchchhre Securities Ltd.,ALL
77,Nabil Stock Dealer Ltd.,ALL
78,Garima Securities Ltd.,ALL
79,Pahi Investment Pvt. Ltd.,ALL
80,Indira Securities Pvt. Ltd.,ALL
81,Akashbhairab Securities Ltd.,ALL
82,N.M.B. Securities Ltd.,ALL
83,Sanima Securities Ltd.,ALL
84,Milky Way Share Broker Company Ltd.,ALL
85,Capital Hub Pvt. Ltd.,ALL
86,Stoxkarts Securities Ltd.,ALL
87,S.P.S.A. Securities Ltd.,ALL
88,Blue Chip Securities Ltd.,ALL
89,JBNL Securities Ltd.,ALL
93,Beni Securities Pvt. Ltd.,ALL
94,K.B.L. Securities Ltd.,ALL
95,Magnet Securities & Investment Company Pvt. Ltd.,ALL
96,Himalayan Securities Ltd.,ALL
97,R.B.B. Securities Company Ltd.,ALL
99,Prabhu Stock Market Ltd.,ALL
100,Sunrise Securities Ltd.,ALL
60,Nagarik Stock Dealer Company Ltd.,ALL
90,Sajilo Broker Ltd.,ALL
91,CBIL Securities Ltd.,ALL
92,Roadshow Securities Ltd.,ALL
98,Trademow Securities Private Limited,ALL
101,Apple Securities Private Limited,ALL 


