Transact No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2026032905037378,SONA,59,25,10.0,466.0,4660.0
2026032905037377,PHCL,57,43,110.0,329.1,36201.0
2026032905037376,PHCL,14,43,300.0,329.2,98760.0
2026032905037375,PHCL,45,43,500.0,330.0,165000.0
2026032905037374,PHCL,49,43,90.0,330.0,29700.0
2026032905037373,PHCL,49,54,100.0,330.0,33000.0
2026032905037372,SIKLES,66,50,10.0,637.0,6370.0
2026032905037371,MMKJL,22,59,10.0,563.0,5630.0
2026032905037370,NRN,1,52,50.0,1628.0,81400.0
2026032905037369,RFPL,45,41,15.0,412.0,6180.0
2026032905037368,RFPL,45,66,235.0,412.0,96820.0
2026032905037367,NYADI,90,35,65.0,435.0,28275.0
2026032905037366,NYADI,45,35,45.0,435.0,19575.0
2026032905037365,SAHAS,45,13,50.0,622.5,31125.0
2026032905037364,USHL,55,58,20.0,714.0,14280.0
2026032905037363,MANDU,43,33,10.0,849.9,8499.0
2026032905037362,IHL,48,49,10.0,514.6,5146.0
2026032905037361,SHIVM,48,41,200.0,689.0,137800.0
2026032905037360,MBJC,26,59,47.0,306.2,14391.4
2026032905037359,PPL,44,48,200.0,391.0,78200.0
2026032905037358,HDL,48,13,80.0,1204.0,96320.0
2026032905037357,EHPL,35,41,20.0,431.6,8632.0
2026032905037356,AHL,1,19,155.0,511.0,79205.0
2026032905037355,AHL,26,19,200.0,511.0,102200.0
2026032905037354,AHL,17,19,189.0,511.0,96579.0
2026032905037353,AHL,57,19,10.0,512.0,5120.0
2026032905037352,NYADI,45,49,115.0,435.0,50025.0
2026032905037351,NYADI,7,49,45.0,435.0,19575.0
2026032905037350,NYADI,59,49,190.0,435.0,82650.0
2026032905037349,NYADI,19,49,150.0,437.2,65580.0
2026032905037348,VLUCL,94,34,15.0,567.0,8505.0
2026032905037347,VLUCL,32,34,20.0,567.3,11346.0
2026032905037346,VLUCL,42,34,25.0,568.0,14200.0
2026032905037345,VLUCL,34,34,50.0,568.1,28405.0
2026032905036707,HDL,44,54,74.0,1202.0,88948.0
2026032905036706,HDL,58,54,70.0,1202.1,84147.0
2026032905036705,HRL,42,29,83.0,853.0,70799.0
2026032905036704,HRL,21,29,250.0,853.0,213250.0
2026032905036703,HRL,57,29,50.0,853.0,42650.0
2026032905036702,HRL,49,29,50.0,853.1,42655.0
2026032905036701,HRL,34,29,1000.0,853.1,853100.0
2026032905036700,HRL,34,29,150.0,853.1,127965.0
2026032905036699,HRL,47,29,20.0,854.3,17086.0
2026032905036698,HRL,45,29,50.0,855.0,42750.0
2026032905036697,HRL,34,29,347.0,855.0,296685.0
2026032905036696,NRN,58,56,257.0,1628.0,418396.0
2026032905036695,NRN,39,56,100.0,1628.0,162800.0
2026032905035799,BHL,32,82,1000.0,237.0,237000.0
2026032905035798,BHL,17,82,200.0,237.0,47400.0
2026032905035797,BHL,66,82,240.0,237.0,56880.0
2026032905035796,BHL,11,82,295.0,237.0,69915.0
2026032905035795,BHL,8,82,980.0,237.1,232358.0
2026032905035794,CIT,26,57,100.0,1848.0,184800.0
2026032905035793,CIT,45,57,10.0,1848.0,18480.0
2026032905035792,CIT,42,57,30.0,1848.0,55440.0
2026032905035791,MKJC,25,62,130.0,526.3,68419.0
2026032905035790,MKJC,58,62,20.0,526.3,10526.0
2026032905035789,NRN,1,6,459.0,1630.0,748170.0
2026032905035788,PHCL,16,51,1314.0,329.0,432306.0
2026032905035732,SAHAS,44,14,347.0,622.5,216007.5
2026032905035731,HHL,17,7,55.0,360.3,19816.5
2026032905035730,HHL,77,7,25.0,360.3,9007.5
2026032905035462,PPL,32,58,15.0,391.0,5865.0
2026032905035461,NRIC,26,17,40.0,1230.0,49200.0
2026032905035460,NRIC,26,58,10.0,1230.0,12300.0
2026032905035459,SMH,57,13,20.0,631.0,12620.0
2026032905035458,SAHAS,6,38,25.0,623.0,15575.0
2026032905035446,TAMOR,56,58,250.0,459.1,114775.0
2026032905035445,MHL,47,45,200.0,536.9,107380.0
2026032905035444,SGHC,57,50,100.0,434.0,43400.0
2026032905035443,SGHC,25,50,100.0,434.0,43400.0
2026032905035442,SGHC,17,50,100.0,434.0,43400.0
2026032905035441,SGHC,52,50,50.0,434.0,21700.0
2026032905035440,SGHC,42,50,200.0,434.0,86800.0
2026032905035439,SGHC,3,50,160.0,434.1,69456.0
2026032905035438,SGHC,14,50,50.0,434.1,21705.0
2026032905035437,SGHC,39,50,200.0,434.3,86860.0
2026032905035037,BHL,57,58,88.0,237.3,20882.4
2026032905035036,DORDI,41,51,98.0,298.0,29204.0
2026032905035035,DORDI,20,51,100.0,298.0,29800.0
2026032905035034,DORDI,43,51,500.0,298.0,149000.0
2026032905035033,DORDI,42,51,130.0,298.0,38740.0
2026032905035032,DORDI,4,51,165.0,298.0,49170.0
2026032905035031,DORDI,52,51,50.0,298.0,14900.0
2026032905035030,DORDI,55,51,534.0,298.0,159132.0
