Symbol,Company,Sectors
MDB,Miteri Development Bank Limited,Development Bank
GBBL,Garima Bikas Bank Limited,Development Bank
JBBL,Jyoti Bikash Bank Limited,Development Bank
KRBL,Karnali Development Bank Limited,Development Bank
NABBC,Narayani Development Bank Limited,Development Bank
EDBL,Excel Development Bank Limited,Development Bank
SADBL,Shangrila Development Bank Limited,Development Bank
MNBBL,Muktinath Bikas Bank Limited,Development Bank
CORBL,Corporate Development Bank Limited,Development Bank
SINDU,Sindhu Bikas Bank Limited,Development Bank
SHINE,Shine Resunga Development Bank Limited,Development Bank
GRDBL,Green Development Bank Limited,Development Bank
MLBL,Mahalaxmi Bikas Bank Limited,Development Bank
KSBBL,Kamana Sewa Bikas Bank Limited,Development Bank
LBBL,Lumbini Bikas Bank Limited,Development Bank
SAPDBL,Saptakoshi Development Bank Limited,Development Bank
NMB,NMB Bank Limited,Commercial Bank
SBL,Siddhartha Bank Limited,Commercial Bank
KBL,Kumari Bank Limited,Commercial Bank
MBL,Machhapuchchhre Bank Limited,Commercial Bank
EBL,Everest Bank Limited,Commercial Bank
SBI,Nepal SBI Bank Limited,Commercial Bank
HBL,Himalayan Bank Limited,Commercial Bank
SCB,Standard Chartered Bank Nepal Limited,Commercial Bank
NABIL,Nabil Bank Limited,Commercial Bank
CZBIL,Citizens Bank International Limited,Commercial Bank
PCBL,Prime Commercial Bank Limited,Commercial Bank
ADBL,Agricultural Development Bank Limited,Commercial Bank
SANIMA,Sanima Bank Limited,Commercial Bank
NBL,Nepal Bank Limited,Commercial Bank
GBIME,Global IME Bank Limited,Commercial Bank
NICA,NIC Asia Bank Limited,Commercial Bank
PRVU,Prabhu Bank Limited,Commercial Bank
NIMB,Nepal Investment Mega Bank Limited,Commercial Bank
LSL,Laxmi Sunrise Bank Limited,Commercial Bank
NFS,Nepal Finance Limited,Finance Company
BFC,Best Finance Company Limited,Finance Company
GFCL,Goodwill Finance Company Limited,Finance Company
PFL,Pokhara Finance Limited,Finance Company
SIFC,Shree Investment Finance Company Limited,Finance Company
CFCL,Central Finance Limited,Finance Company
JFL,Janaki Finance Company Limited,Finance Company
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),Finance Company
CMB,Capital Merchant Banking & Finance Limited,Finance Company
GMFIL,Guheswori Merchant Banking & Finance Limited,Finance Company
ICFC,ICFC Finance Limited,Finance Company
MPFL,Multipurpose Finance Company Limited,Finance Company
PROFL,Progressive Finance Limited,Finance Company
MFIL,Manjushree Finance Limited,Finance Company
RLFL,Reliance Finance Limited,Finance Company
GUFL,Gurkhas Finance Limited,Finance Company
SHL,Soaltee Hotel Limited,Hotel and Tourism
TRH,Taragaon Regency Hotel Limited,Hotel and Tourism
OHL,Oriental Hotel Limited,Hotel and Tourism
CGH,Chandragiri Hills Limited,Hotel and Tourism
KDL,Kalinchowk Darshan Limited,Hotel and Tourism
CITY,City Hotel Limited,Hotel and Tourism
BANDIPUR,Bandipur Cable Car and Tourism Limited,Hotel and Tourism
NHPC,National Hydro Power Company Limited,Hotel and Tourism
BPCL,Butwal Power Company Limited,Hotel and Tourism
CHCL,Chilime Hydro power Company Limited,Hotel and Tourism
AHPC,Arun Valley Hydropower Development Company Limited,Hotel and Tourism
SJCL,Sanjen Jalavidhyut Company Limited,Hotel and Tourism
SHPC,Sanima Mai Hydropower Limited,Hotel and Tourism
RHPL,Rasuwagadhi Hydropower Company Limited,Hotel and Tourism
BARUN,Barun Hydropower Company Limited,Hotel and Tourism
UPPER,Upper Tamakoshi Hydropower Limited,Hotel and Tourism
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,Hotel and Tourism
AKPL,Arun Kabeli Power Limited,Hotel and Tourism
API,Api Power Company Limited,Hotel and Tourism
MKJC,Mailung Khola Jal Vidhyut Company Limited,Hotel and Tourism
DORDI,Dordi Khola Hydropower Company Limited,Hotel and Tourism
TVCL,Trishuli Jal Vidhyut Company Limited,Hotel and Tourism
