Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
1,ACLBSL,34.08,908,937,908,931,931,0,0,922.12,639,920.00,"589,233.10",27,11,29,1.2,3.19,0.95,"1,284.90",900.00,
2,ADBL,33.68,294.8,295,292.1,293,293,0,0,294.01,"17,448.00",292.00,"5,129,810.80",136,1,2.9,0.34,0.99,-0.34,344.9,272.3,
3,ADBLD83,24.29,"1,092.10","1,092.10","1,092.10","1,092.00","1,092.00",0,0.00,"1,092.06",25.00,"1,107.00","27,301.60",2,-15,0,-1.36,0,-0.01,"1,160.00","1,046.00",
4,AHL,44.55,540,561,532,560,560,0,0,549.96,"14,572.00",533.30,"8,013,960.10",187,26.7,29,5.01,5.45,1.79,891,532,
5,AHPC,27.16,260.9,261.6,258,260.5,260.5,0,0,260.33,"63,265.00",259.00,"16,469,471.60",311,1.5,3.6,0.58,1.4,0.07,334,242,
6,AKJCL,44.79,190.1,193.5,190,192.6,192.6,0,0,192.31,"89,437.00",190.80,"17,199,884.30",228,1.8,3.5,0.94,1.84,0.15,233.5,172.9,
7,AKPL,27.28,243,247,242,244.9,244.9,0,0,244.93,"87,311.00",242.50,"21,385,496.90",228,2.4,5,0.99,2.07,-0.01,306.5,216.1,
8,ALBSL,41.00,"1,197.60","1,231.90","1,197.60","1,224.00","1,224.00",0,0.00,"1,219.43","21,836.00","1,222.00","26,627,505.90",229,2,34.3,0.16,2.86,0.37,"1,237.90",771.00,
9,ALICL,41.7,461.9,467,460.4,466,466,0,0,463.70,"26,018.00",461.90,"12,064,440.60",178,4.1,6.6,0.89,1.43,0.49,831,430,
10,ANLB,37.78,"6,025.00","6,085.00","6,000.00","6,083.90","6,083.90",0,0.00,"6,013.17",238.00,"6,082.00","1,431,135.30",21,1.9,85,0.03,1.42,1.16,"6,800.00","4,673.00",
11,API,26.02,283,285,281.2,284,284,0,0,283.89,"79,148.00",281.20,"22,469,560.00",293,2.8,3.8,1,1.35,0.04,335,256.3,
